"";"family";"emojis";"n";"url";"descr";"label";"Número de Tweets"
"11";"OpenSansEmoji";"<U+0001F6A8>";1984;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/police-cars-revolving-light_1f6a8.png";"Una luz roja giratoria vista en la parte superior de un coche de policía. A menudo se usa en circunstancias de emergencia, además de una sirena que emite un fuerte sonido de advertencia. Police Car Light fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Police Cars Revolving Light y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/police-cars-revolving-light_1f6a8.png' width='25'/>";1984
"12";"OpenSansEmoji";"<U+0001F4DD>";1657;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/memo_1f4dd.png";"Un trozo de papel blanco con el texto escrito con un lápiz amarillo, colocado sobre la hoja, con la punta hacia abajo, en un ángulo de 45 °. Comúnmente utilizado para contenido relacionado con varios tipos de documentos y escritos, incluida la firma (en deportes). Los diseños de WhatsApp y Facebook representan un antiguo memorando de oficina en papel rosa. Apple sugiere una nota informal con el huevo de pascua del texto escrito a mano de su campaña publicitaria Crazy Ones / Think Different de 1997–2002: A los locos. Los inadaptados. Los rebeldes. Los alborotadores. Las clavijas redondas en los agujeros cuadrados ... No debe confundirse con <U+0001F4C4> Page Facing Up u otros emojis con hojas de papel. Memo se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/memo_1f4dd.png' width='25'/>";1657
"13";"EmojiOne";"<U+27A1>";1645;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-rightwards-arrow_27a1.png";"Una flecha apuntando a la derecha. Consulte el glosario para obtener información sobre el término negro en los nombres de caracteres unicode. Right Arrow fue aprobado como parte de Unicode 1.1 en 1993 bajo el nombre de Black Rightwards Arrow y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-rightwards-arrow_27a1.png' width='25'/>";1645
"14";"OpenSansEmoji";"<U+2705>";1595;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-heavy-check-mark_2705.png";"Una marca de verificación que se muestra con una apariencia de contorno blanco. Se muestra en la mayoría de las plataformas con un rectángulo redondeado verde brillante o un círculo que lo rodea. Android mostró previamente esto como una marca de verificación azul marcada / marca azul. Este emoji no es compatible con los nombres de Twitter, posiblemente en un intento de minimizar la confusión con una marca de verificación verificada. El botón de marca de verificación se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de Marca de verificación blanca pesada y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-heavy-check-mark_2705.png' width='25'/>";1595
"15";"OpenSansEmoji";"<U+0001F449>";1376;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-right-pointing-backhand-index_1f449.png";"El dedo índice apuntando hacia la derecha. Backhand Index Pointing Right se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de White Right Pointing Backhand Index y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-right-pointing-backhand-index_1f449.png' width='25'/>";1376
"16";"OpenSansEmoji";"<U+0001F3E1>";1352;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-with-garden_1f3e1.png";"Una casa de aspecto suburbano, con un árbol, una flor o arbustos a su alrededor en el jardín. House with Garden se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-with-garden_1f3e1.png' width='25'/>";1352
"17";"OpenSansEmoji";"<U+0001F3E0>";1293;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-building_1f3e0.png";"Una casa, también conocida como hogar cuando alguien vive en ella. Adecuado para una pareja o familia numerosa, otros quizás compañeros de casa. A diferencia de un edificio de apartamentos debido a su forma separada, es probable que esta casa se encuentre en las afueras de una ciudad o una zona rural. House fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de House Building y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-building_1f3e0.png' width='25'/>";1293
"18";"OpenSansEmoji";"<U+0001F92C>";1159;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/serious-face-with-symbols-covering-mouth_1f92c.png";"Una cara de color rojo enojado con una barra negra y grawlixes blancos cubriendo su boca, lo que indica que está maldiciendo o siendo vulgar. Grawlixes son símbolos tipográficos (p. Ej., @ # $% &amp;!) Que representan malas palabras u obscenidades. A menudo se utiliza para transmitir un estallido de ira, frustración o ira. La mayoría de las plataformas tienen los mismos ojos que en su <U+0001F620> Cara enojada. La cara con símbolos en la boca se aprobó como parte de Unicode 10.0 en 2017 bajo el nombre Cara seria con símbolos que cubren la boca y se agregó a Emoji 5.0 en 2017.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/serious-face-with-symbols-covering-mouth_1f92c.png' width='25'/>";1159
"19";"OpenSansEmoji";"<U+0001F539>";1013;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/small-blue-diamond_1f539.png";"Small Blue Diamond se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/small-blue-diamond_1f539.png' width='25'/>";1013
"20";"OpenSansEmoji";"<U+0001F609>";935;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/winking-face_1f609.png";"Una cara amarilla con una leve sonrisa mostrada parpadeando, generalmente su ojo izquierdo. Puede indicar una broma, coqueteo, significado oculto o positividad general. El tono varía, incluyendo juguetón, cariñoso, sugerente o irónico. No debe confundirse con los más traviesos o sexuales Face Smirking Face. Una forma emoji del emoticón;). Winking Face se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/winking-face_1f609.png' width='25'/>";935
"21";"OpenSansEmoji";"<U+0001F64F>";928;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_1f64f.png";"Dos manos colocadas firmemente juntas, lo que significa por favor o gracias en la cultura japonesa. Un uso alternativo común para este emoji es para la oración, usando el mismo gesto que las manos orando. Raramente: un choca esos cinco. Una versión anterior de este emoji mostraba un estallido de luz amarilla detrás de las dos manos en iOS. Android una vez mostró un carácter de burbuja con los ojos cerrados y las manos juntas. Folded Hands se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de Persona con manos plegadas y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_1f64f.png' width='25'/>";928
"22";"OpenSansEmoji";"<U+274C>";913;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cross-mark_274c.png";"Una gran marca de cruz roja, que se muestra en forma de una letra X y similar a un signo de multiplicación. Cross Mark fue aprobado como parte de Unicode 6.0 en 2010 y agregado a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cross-mark_274c.png' width='25'/>";913
"23";"OpenSansEmoji";"<U+0001F447>";893;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png";"El dedo índice apuntando hacia abajo. El índice de revés apuntando hacia abajo fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Índice de revés apuntando hacia abajo y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png' width='25'/>";893
"24";"OpenSansEmoji";"<U+0001F60E>";889;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-sunglasses_1f60e.png";"Una cara amarilla con una sonrisa amplia y cerrada con gafas de sol negras, como si fueran un par de Wayfarers clásicos. A menudo se utiliza para transmitir la sensación de argot de la calma. También puede expresar una actitud segura y despreocupada o que algo es excelente. <U+0001F913> Nerd Face usa anteojos de forma similar. En Snapchat, este emoji junto a un contacto denota que tienes mejores amigos en común con esta persona. La cara sonriente con gafas de sol se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-sunglasses_1f60e.png' width='25'/>";889
"25";"OpenSansEmoji";"<U+0001F534>";862;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/large-red-circle_1f534.png";"Red Circle fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre Large Red Circle y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/large-red-circle_1f534.png' width='25'/>";862
"26";"OpenSansEmoji";"<U+0001F91E>";846;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/hand-with-index-and-middle-fingers-crossed_1f91e.png";"Un emoji cruzado con los dedos que muestra el dedo índice (primero) cruzado sobre el dedo medio (segundo). Comúnmente utilizado como un gesto que indica suerte, o para mostrar el deseo de un resultado favorable. Este emoji se muestra con un dedo adicional en los dispositivos Samsung. Crossed Fingers se aprobó como parte de Unicode 9.0 en 2016 bajo el nombre Mano con índice y dedos cruzados intermedios y se agregó a Emoji 3.0 en 2016.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/hand-with-index-and-middle-fingers-crossed_1f91e.png' width='25'/>";846
"27";"OpenSansEmoji";"<U+0001F914>";813;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/thinking-face_1f914.png";"Una cara amarilla con cejas fruncidas mirando hacia arriba con el pulgar y el dedo índice descansando sobre su barbilla. Destinado a mostrar a una persona reflexionando o sumida en sus pensamientos. A menudo solía cuestionar o despreciar a algo o alguien, como si dijera Hmm, no sé sobre eso. El tono varía, incluso serio, juguetón, desconcertado, escéptico y burlón. Puede combinarse con <U+0001F4AD> Globo de pensamiento o <U+0001F4A1> Bombilla para representar el pensamiento, (tener) ideas y el aprendizaje. Se une a Face Hugging Face, <U+0001F92B> Shushing Face y <U+0001F92D> Face With Hand Over Mouth como uno de los pocos emoticonos con una mano. Thinking Face se aprobó como parte de Unicode 8.0 en 2015 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/thinking-face_1f914.png' width='25'/>";813
"28";"OpenSansEmoji";"<U+0001F633>";771;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flushed-face_1f633.png";"Una cara amarilla con cejas arqueadas, una boca pequeña y cerrada, ojos grandes y blancos mirando al frente y mejillas sonrojadas. Pretendía representar sentimientos como la vergüenza, pero el significado varía mucho. Otros sentidos incluyen adulación, sorpresa, incredulidad, admiración, afecto y emoción. El diseño de Google anteriormente presentaba una expresión más tímida y Samsung, una más vergonzosa. Flushed Face se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015. <U+0001F6A9> La apariencia difiere mucho entre plataformas. Usar con precaución.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flushed-face_1f633.png' width='25'/>";771
"29";"EmojiOne";"<U+2714>";771;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/heavy-check-mark_2714.png";"Una marca de verificación gruesa (pesada) que se muestra en algunas plataformas en un estilo escrito a mano. Generalmente se muestra en negro en la mayoría de las plataformas, excepto Android (azul), Windows (verde) y Samsung (rojo). Este emoji no es compatible con los nombres de Twitter, posiblemente en un intento de minimizar la confusión con una marca de verificación verificada. La marca de verificación se aprobó como parte de Unicode 1.1 en 1993 bajo el nombre de marca de verificación pesada y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/heavy-check-mark_2714.png' width='25'/>";771
"30";"EmojiOne";"<U+25AA>";751;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-small-square_25aa.png";"Black Small Square se aprobó como parte de Unicode 1.1 en 1993 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-small-square_25aa.png' width='25'/>";751
